"Potentiell produktion och resursutnyttjande kvartal. Kvartal."

"enhet";"period";"BNP-gap, procent av potentiell BNP"
"Värden";"1981Q1";-0.4
"Värden";"1981Q2";-0.3
"Värden";"1981Q3";0.4
"Värden";"1981Q4";-0.5
"Värden";"1982Q1";-0.5
"Värden";"1982Q2";-0.8
"Värden";"1982Q3";-2.0
"Värden";"1982Q4";-1.8
"Värden";"1983Q1";-2.7
"Värden";"1983Q2";-2.3
"Värden";"1983Q3";-1.4
"Värden";"1983Q4";-0.9
"Värden";"1984Q1";0.9
"Värden";"1984Q2";-0.2
"Värden";"1984Q3";-0.8
"Värden";"1984Q4";-0.4
"Värden";"1985Q1";-1.6
"Värden";"1985Q2";-0.1
"Värden";"1985Q3";0.7
"Värden";"1985Q4";0.7
"Värden";"1986Q1";1.4
"Värden";"1986Q2";0.7
"Värden";"1986Q3";0.7
"Värden";"1986Q4";0.8
"Värden";"1987Q1";1.0
"Värden";"1987Q2";2.0
"Värden";"1987Q3";2.7
"Värden";"1987Q4";2.8
"Värden";"1988Q1";2.8
"Värden";"1988Q2";2.3
"Värden";"1988Q3";1.8
"Värden";"1988Q4";2.1
"Värden";"1989Q1";2.9
"Värden";"1989Q2";2.8
"Värden";"1989Q3";3.1
"Värden";"1989Q4";2.7
"Värden";"1990Q1";2.3
"Värden";"1990Q2";2.9
"Värden";"1990Q3";1.8
"Värden";"1990Q4";1.6
"Värden";"1991Q1";0.6
"Värden";"1991Q2";-0.2
"Värden";"1991Q3";-0.5
"Värden";"1991Q4";0.0
"Värden";"1992Q1";-0.7
"Värden";"1992Q2";-1.5
"Värden";"1992Q3";-2.1
"Värden";"1992Q4";-4.9
"Värden";"1993Q1";-6.8
"Värden";"1993Q2";-6.1
"Värden";"1993Q3";-5.9
"Värden";"1993Q4";-6.3
"Värden";"1994Q1";-5.9
"Värden";"1994Q2";-5.6
"Värden";"1994Q3";-5.5
"Värden";"1994Q4";-4.4
"Värden";"1995Q1";-3.9
"Värden";"1995Q2";-4.1
"Värden";"1995Q3";-4.5
"Värden";"1995Q4";-4.0
"Värden";"1996Q1";-4.0
"Värden";"1996Q2";-5.4
"Värden";"1996Q3";-5.8
"Värden";"1996Q4";-5.5
"Värden";"1997Q1";-5.3
"Värden";"1997Q2";-4.8
"Värden";"1997Q3";-4.7
"Värden";"1997Q4";-3.1
"Värden";"1998Q1";-3.3
"Värden";"1998Q2";-2.4
"Värden";"1998Q3";-2.4
"Värden";"1998Q4";-1.6
"Värden";"1999Q1";-1.1
"Värden";"1999Q2";-0.9
"Värden";"1999Q3";-0.9
"Värden";"1999Q4";0.3
"Värden";"2000Q1";0.2
"Värden";"2000Q2";2.0
"Värden";"2000Q3";2.1
"Värden";"2000Q4";1.2
"Värden";"2001Q1";1.0
"Värden";"2001Q2";0.6
"Värden";"2001Q3";0.4
"Värden";"2001Q4";0.7
"Värden";"2002Q1";0.0
"Värden";"2002Q2";0.9
"Värden";"2002Q3";0.9
"Värden";"2002Q4";0.3
"Värden";"2003Q1";0.7
"Värden";"2003Q2";-0.7
"Värden";"2003Q3";0.0
"Värden";"2003Q4";-0.1
"Värden";"2004Q1";0.9
"Värden";"2004Q2";0.5
"Värden";"2004Q3";0.5
"Värden";"2004Q4";0.3
"Värden";"2005Q1";-0.1
"Värden";"2005Q2";-0.4
"Värden";"2005Q3";-0.1
"Värden";"2005Q4";-0.2
"Värden";"2006Q1";0.6
"Värden";"2006Q2";1.6
"Värden";"2006Q3";2.1
"Värden";"2006Q4";2.1
"Värden";"2007Q1";2.4
"Värden";"2007Q2";2.3
"Värden";"2007Q3";2.5
"Värden";"2007Q4";3.0
"Värden";"2008Q1";1.5
"Värden";"2008Q2";1.0
"Värden";"2008Q3";0.1
"Värden";"2008Q4";-3.7
"Värden";"2009Q1";-5.4
"Värden";"2009Q2";-5.7
"Värden";"2009Q3";-6.1
"Värden";"2009Q4";-6.1
"Värden";"2010Q1";-4.1
"Värden";"2010Q2";-2.7
"Värden";"2010Q3";-2.0
"Värden";"2010Q4";-1.0
"Värden";"2011Q1";-0.9
"Värden";"2011Q2";-1.0
"Värden";"2011Q3";0.0
"Värden";"2011Q4";-1.9
"Värden";"2012Q1";-2.0
"Värden";"2012Q2";-2.2
"Värden";"2012Q3";-2.7
"Värden";"2012Q4";-3.9
"Värden";"2013Q1";-2.9
"Värden";"2013Q2";-3.4
"Värden";"2013Q3";-3.3
"Värden";"2013Q4";-3.1
"Värden";"2014Q1";-2.6
"Värden";"2014Q2";-2.2
"Värden";"2014Q3";-1.9
"Värden";"2014Q4";-1.6
"Värden";"2015Q1";-0.7
"Värden";"2015Q2";-0.2
"Värden";"2015Q3";0.7
"Värden";"2015Q4";1.1
"Värden";"2016Q1";0.6
"Värden";"2016Q2";0.3
"Värden";"2016Q3";0.1
"Värden";"2016Q4";0.4
"Värden";"2017Q1";0.2
"Värden";"2017Q2";1.1
"Värden";"2017Q3";1.4
"Värden";"2017Q4";1.2
"Värden";"2018Q1";1.0
"Värden";"2018Q2";1.6
"Värden";"2018Q3";0.1
"Värden";"2018Q4";0.8
"Värden";"2019Q1";0.5
"Värden";"2019Q2";0.8
"Värden";"2019Q3";0.5
"Värden";"2019Q4";0.9
"Värden";"2020Q1";0.5
"Värden";"2020Q2";-7.3
"Värden";"2020Q3";-0.4
"Värden";"2020Q4";-0.6
